step,train_size,new_train_ids,test_rmse
0,10,"[126, 146, 133, 62, 94, 83, 84, 123, 52, 105]",261.1712110231755
1,20,"[262, 214, 55, 61, 261, 300, 114, 1, 156, 56]",252.42897906889314
2,30,"[79, 59, 167, 16, 219, 255, 57, 270, 181, 36]",260.7061473102699
3,40,"[182, 2, 40, 243, 60, 110, 284, 80, 48, 173]",263.7956579717325
4,50,"[101, 238, 147, 187, 38, 39, 46, 253, 116, 15]",270.18428712260175
5,60,"[118, 189, 222, 73, 211, 75, 63, 250, 49, 209]",276.12660818057725
6,70,"[51, 140, 122, 283, 14, 152, 12, 193, 97, 0]",278.0772682278479
7,80,"[78, 183, 287, 96, 85, 145, 35, 134, 98, 77]",269.5714489046577
8,90,"[115, 280, 160, 225, 290, 251, 281, 241, 166, 95]",265.99170282115057
9,100,"[224, 93, 18, 30, 277, 202, 65, 233, 50, 297]",246.8717004234582
10,110,"[54, 169, 86, 100, 274, 91, 176, 142, 137, 188]",239.19049978794814
11,120,"[248, 288, 240, 180, 293, 135, 81, 174, 203, 107]",218.2793470127681
12,130,"[236, 207, 204, 296, 171, 282, 130, 161, 286, 235]",221.6920972755584
13,140,"[175, 289, 260, 292, 148, 90, 285, 8, 21, 26]",212.65960703968315
14,150,"[252, 272, 198, 195, 42, 11, 10, 88, 257, 92]",234.50956062443615
15,160,"[53, 43, 29, 273, 199, 153, 230, 7, 177, 27]",239.49824982973846
16,170,"[242, 124, 72, 258, 228, 149, 20, 25, 246, 154]",222.7348294566741
17,180,"[13, 74, 201, 111, 58, 186, 263, 119, 143, 226]",220.65327140122852
18,190,"[268, 271, 190, 165, 216, 278, 185, 44, 155, 99]",207.14610552425637
19,200,"[87, 33, 208, 31, 17, 28, 141, 24, 218, 144]",221.46965230577132
20,301,"[3, 4, 5, 6, 9, 19, 22, 23, 32, 34, 37, 41, 45, 47, 64, 66, 67, 68, 69, 70, 71, 76, 82, 89, 102, 103, 104, 106, 108, 109, 112, 113, 117, 120, 121, 125, 127, 128, 129, 131, 132, 136, 138, 139, 150, 151, 157, 158, 159, 162, 163, 164, 168, 170, 172, 178, 179, 184, 191, 192, 194, 196, 197, 200, 205, 206, 210, 212, 213, 215, 217, 220, 221, 223, 227, 229, 231, 232, 234, 237, 239, 244, 245, 247, 249, 254, 256, 259, 264, 265, 266, 267, 269, 275, 276, 279, 291, 294, 295, 298, 299]",200.95284396036362
