step,train_size,new_train_ids,test_rmse
0,10,"[137, 185, 188, 154, 280, 254, 216, 165, 293, 131]",227.32803517697545
1,20,"[202, 139, 240, 29, 89, 65, 285, 255, 99, 272]",241.21296442127675
2,30,"[114, 101, 279, 88, 172, 295, 220, 230, 294, 22]",238.29451093123407
3,40,"[27, 145, 281, 206, 140, 274, 92, 247, 215, 2]",236.07734695706708
4,50,"[268, 9, 32, 25, 289, 47, 218, 234, 74, 191]",229.94235297337204
5,60,"[193, 168, 153, 269, 292, 287, 38, 118, 183, 299]",230.2232195871935
6,70,"[147, 265, 186, 277, 162, 12, 98, 15, 257, 252]",221.7763153366301
7,80,"[278, 136, 125, 167, 195, 113, 79, 155, 58, 228]",221.06901263639608
8,90,"[298, 84, 129, 283, 82, 46, 231, 1, 94, 117]",231.1188868031421
9,100,"[37, 209, 83, 102, 184, 242, 196, 24, 198, 56]",226.80636693857
10,110,"[284, 157, 244, 194, 103, 126, 105, 106, 30, 60]",228.15650448110267
11,120,"[4, 13, 95, 17, 42, 200, 19, 173, 50, 39]",217.4122185401183
12,130,"[48, 246, 40, 261, 235, 204, 61, 59, 170, 69]",211.46712274237237
13,140,"[262, 7, 16, 160, 151, 223, 135, 144, 86, 80]",216.39710696293352
14,150,"[21, 91, 213, 104, 93, 26, 275, 212, 53, 286]",217.45646910238628
15,160,"[51, 297, 248, 90, 107, 119, 237, 96, 43, 85]",210.85419633078342
16,170,"[190, 78, 28, 207, 296, 6, 263, 243, 205, 169]",216.24094352573385
17,180,"[253, 163, 76, 258, 49, 150, 108, 72, 256, 161]",211.79470710760162
18,190,"[267, 171, 270, 124, 214, 201, 282, 227, 128, 189]",217.88353180338746
19,200,"[138, 180, 75, 221, 177, 34, 290, 149, 141, 300]",220.62860496023237
20,301,"[0, 3, 5, 8, 10, 11, 14, 18, 20, 23, 31, 33, 35, 36, 41, 44, 45, 52, 54, 55, 57, 62, 63, 64, 66, 67, 68, 70, 71, 73, 77, 81, 87, 97, 100, 109, 110, 111, 112, 115, 116, 120, 121, 122, 123, 127, 130, 132, 133, 134, 142, 143, 146, 148, 152, 156, 158, 159, 164, 166, 174, 175, 176, 178, 179, 181, 182, 187, 192, 197, 199, 203, 208, 210, 211, 217, 219, 222, 224, 225, 226, 229, 232, 233, 236, 238, 239, 241, 245, 249, 250, 251, 259, 260, 264, 266, 271, 273, 276, 288, 291]",205.75761091076876
