step,train_size,new_train_ids,test_rmse
0,10,"[260, 143, 118, 214, 166, 107, 94, 90, 5, 245]",286.5709925681341
1,20,"[249, 206, 73, 17, 72, 193, 284, 50, 145, 144]",285.8065347236325
2,30,"[232, 195, 257, 277, 268, 21, 136, 175, 238, 222]",282.93296909024536
3,40,"[45, 160, 149, 170, 287, 121, 120, 174, 289, 75]",283.56136493712535
4,50,"[183, 133, 178, 163, 134, 158, 243, 14, 20, 213]",274.84127604273016
5,60,"[11, 152, 112, 13, 211, 15, 237, 236, 200, 250]",268.80160984141526
6,70,"[52, 54, 169, 212, 137, 29, 297, 28, 125, 126]",245.0153089106422
7,80,"[48, 182, 230, 181, 248, 271, 192, 258, 168, 293]",235.71248495320785
8,90,"[139, 274, 132, 151, 105, 114, 210, 264, 171, 161]",238.7520253946686
9,100,"[233, 97, 239, 279, 241, 190, 275, 172, 229, 263]",239.30086586101552
10,110,"[157, 246, 267, 270, 124, 188, 78, 254, 24, 81]",233.36470284316675
11,120,"[140, 288, 252, 234, 86, 23, 262, 138, 261, 201]",230.594505618517
12,130,"[30, 196, 283, 95, 26, 290, 209, 32, 295, 180]",234.25845341522296
13,140,"[129, 278, 276, 202, 226, 77, 215, 253, 167, 208]",233.72794213878848
14,150,"[259, 130, 53, 187, 16, 179, 127, 128, 298, 296]",230.31997149854695
15,160,"[156, 4, 40, 220, 9, 41, 117, 55, 244, 207]",247.09736464114852
16,170,"[141, 76, 269, 51, 231, 164, 225, 162, 300, 148]",236.86890477987905
17,180,"[92, 224, 39, 146, 281, 255, 282, 131, 273, 103]",244.97519691412492
18,190,"[82, 186, 185, 56, 184, 194, 197, 154, 83, 242]",218.6277150344977
19,200,"[31, 299, 57, 100, 240, 272, 216, 0, 203, 247]",228.62732355870224
20,301,"[1, 2, 3, 6, 7, 8, 10, 12, 18, 19, 22, 25, 27, 33, 34, 35, 36, 37, 38, 42, 43, 44, 46, 47, 49, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 74, 79, 80, 84, 85, 87, 88, 89, 91, 93, 96, 98, 99, 101, 102, 104, 106, 108, 109, 110, 111, 113, 115, 116, 119, 122, 123, 135, 142, 147, 150, 153, 155, 159, 165, 173, 176, 177, 189, 191, 198, 199, 204, 205, 217, 218, 219, 221, 223, 227, 228, 235, 251, 256, 265, 266, 280, 285, 286, 291, 292, 294]",202.15917123338582
